question_text,question_type,source,notes,target_AD,target_AM,target_AR,target_AU,target_BD,target_BO,target_BR,target_CA,target_CL,target_CN,target_CO,target_CY,target_CZ,target_DE,target_EC,target_EG,target_ET,target_GB,target_GR,target_GT,target_HK,target_ID,target_IN,target_IQ,target_IR,target_JO,target_JP,target_KE,target_KG,target_KR,target_KZ,target_LB,target_LY,target_MA,target_MM,target_MN,target_MO,target_MV,target_MX,target_MY,target_NG,target_NI,target_NL,target_NZ,target_PE,target_PH,target_PK,target_PR,target_RO,target_RS,target_RU,target_SG,target_SK,target_TH,target_TJ,target_TN,target_TR,target_TW,target_UA,target_US,target_UY,target_UZ,target_VE,target_VN,target_ZW
Confidence: the churches,wvs_seed,WVS Wave 7,wvs_code=Q65;rule=top2of4,,0.718081,0.372448,0.826797,0.904603,0.275657,0.634318,0.743988,0.470227,0.954417,0.388158,0.636663,0.536514,0.580668,0.591561,,0.768974,0.794474,0.814092,0.227014,0.558894,0.893335,0.868669,0.715604,0.924579,0.949082,0.870607,0.588703,0.709607,0.538956,0.824940,0.894078,0.482612,0.580000,0.332500,0.475718,0.675542,0.733591,0.506766,0.745427,0.550579,0.220833,0.621698,0.857576,0.356030,0.765492,0.937973,0.570278,0.721225,0.629812,0.771261,0.833282,0.598662,0.612290,0.887543,0.732548,0.860251,0.644872,0.743301,0.813335,0.542196,0.917874,0.208403,0.931857,0.516639
Confidence: the armed forces,wvs_seed,WVS Wave 7,wvs_code=Q66;rule=top2of4,0.369000,0.121163,0.301703,0.175472,0.715604,0.253089,0.385586,0.426024,0.455400,0.685188,0.153947,0.362079,0.432560,0.369826,0.364478,0.094747,0.406101,0.131566,0.137975,0.201790,0.538174,0.508596,0.657589,0.398261,0.605511,0.328423,0.714939,0.626603,0.451847,0.495582,0.600477,0.204047,0.115318,0.226667,0.571667,0.357768,0.559489,0.259439,0.270192,0.384439,0.547425,0.184167,0.353745,0.279324,0.235514,0.711688,0.561905,0.312500,0.271279,0.200787,0.330096,0.560431,0.349396,0.539541,0.612154,0.235593,0.440017,0.265018,0.314077,0.297417,0.308580,0.682258,0.248739,0.806097,0.317340
Confidence: the press,wvs_seed,WVS Wave 7,wvs_code=Q67;rule=top2of4,0.348651,0.171507,0.327055,0.174667,0.764459,0.261252,0.361139,0.360404,0.575658,0.732205,0.150658,0.447928,0.535464,0.323077,0.393277,0.235445,0.515204,0.247958,0.141906,0.223759,0.480632,0.482552,0.633753,0.459436,0.795850,0.439485,0.665904,0.698324,0.577202,0.573494,0.642289,0.264706,0.113924,0.263333,0.810000,0.516594,0.542406,0.299517,0.275648,0.399390,0.621865,0.190833,0.312755,0.318637,0.266217,0.809431,0.606829,0.303220,0.318458,0.238235,0.420553,0.574345,0.445673,0.602566,0.724809,0.250209,0.493931,0.301574,0.332121,0.225910,0.284512,0.690016,0.309244,0.908027,0.386935
Confidence: television,wvs_seed,WVS Wave 7,wvs_code=Q68;rule=top2of4,0.181448,0.140566,0.187134,0.293858,0.626087,0.152163,0.356099,0.428229,0.499313,0.689466,0.112500,0.366155,0.539155,0.511095,0.300938,0.144847,0.531792,0.395551,0.192201,0.143206,0.426313,0.526050,0.662033,0.341983,0.531780,0.481865,0.499038,0.438267,0.508308,0.416867,0.567921,0.191816,0.155683,0.225833,0.720000,0.354007,0.558736,0.537328,0.202580,0.589939,0.476923,0.111667,0.471373,0.329519,0.143423,0.643534,0.660904,0.218412,0.193274,0.171548,0.377375,0.539281,0.467476,0.558080,0.574153,0.223404,0.472406,0.563605,0.285052,0.332973,0.312837,0.633361,0.104202,0.891587,0.492778
Confidence: labour unions,wvs_seed,WVS Wave 7,wvs_code=Q69;rule=top2of4,0.765000,0.455491,0.301428,0.806934,0.454317,0.151868,0.548982,0.685036,0.474040,0.848160,0.246711,0.524319,0.698081,0.867725,0.528774,,0.587993,0.672984,0.711091,0.144833,0.678527,0.676129,0.668185,0.574188,0.851406,0.931381,0.816577,0.359776,0.490556,0.565462,0.659524,0.555000,0.509322,0.473333,0.603333,0.485980,0.736220,0.622351,0.213191,0.595274,0.270241,0.257500,0.724034,0.877810,0.249382,0.801735,0.433914,0.489705,0.487957,0.423913,0.516696,0.870421,0.527136,0.533472,0.834340,0.469302,0.842720,0.826330,0.388083,0.687572,0.683369,0.827280,0.144538,0.911690,0.504950
Confidence: the police,wvs_seed,WVS Wave 7,wvs_code=Q70;rule=top2of4,0.583249,0.278258,0.195989,0.595637,0.786498,0.143288,0.522118,0.580503,0.307708,0.862982,0.132237,0.517001,0.610068,0.748645,0.409822,,0.642027,0.669583,0.600807,0.139951,0.800826,0.729907,0.745598,0.432874,0.769489,0.798118,0.855519,0.510809,0.400691,0.615261,0.642458,0.343409,0.529665,0.382500,0.596667,0.393093,0.759606,0.413527,0.224641,0.627287,0.435473,0.224167,0.677403,0.714855,0.097143,0.775441,0.640432,0.363063,0.386051,0.297270,0.479532,0.823064,0.393942,0.696316,0.807155,0.468322,0.745394,0.575478,0.218883,0.578187,0.598710,0.805057,0.160504,0.926809,0.524086
Confidence: the courts / justice system,wvs_seed,WVS Wave 7,wvs_code=Q71;rule=top2of4,0.490964,0.347066,0.298586,0.304541,0.820556,0.236739,0.231081,0.461569,0.370645,0.949224,0.119079,0.356865,0.336894,0.454852,0.322091,,0.662551,0.235648,0.131721,0.091131,0.552122,0.791146,0.651449,0.199310,0.520484,0.425220,0.433628,0.455788,0.531568,0.513253,0.701122,0.200000,0.296684,0.210000,0.801667,0.404657,0.687008,0.297193,0.174331,0.501524,0.402558,0.275000,0.304108,0.539246,0.107067,0.815997,0.635667,0.150943,0.209739,0.262027,0.549099,0.815726,0.215682,0.556755,0.908397,0.120777,0.699074,0.530877,0.202794,0.336524,0.542453,0.841592,0.173109,0.946520,0.519868
Confidence: the government,wvs_seed,WVS Wave 7,wvs_code=Q72;rule=top2of4,0.230223,0.112421,0.120916,0.107434,0.449659,0.055365,0.137309,0.235520,0.177925,0.910452,0.051974,0.149776,0.211083,0.242134,0.171285,0.031927,0.313743,0.127857,0.073701,0.067535,0.240849,0.372923,0.422577,0.106272,0.504808,0.106291,0.290620,0.234337,0.333105,0.244980,0.590323,0.131092,0.032558,0.186667,0.682500,0.212241,0.592666,0.115646,0.113194,0.315027,0.328060,0.119167,0.154587,0.216272,0.060330,0.626108,0.452604,0.097385,0.081506,0.101957,0.337450,0.546288,0.162738,0.398660,0.636697,0.070886,0.515280,0.238654,0.190267,0.112804,0.306566,0.672982,0.115966,0.940828,0.291213
Confidence: political parties,wvs_seed,WVS Wave 7,wvs_code=Q73;rule=top2of4,0.374364,0.190811,0.213856,0.278284,0.769297,0.097251,0.161704,0.442714,0.219437,0.926753,0.053947,0.272342,0.356800,0.442084,0.218487,0.093117,0.541905,0.215393,0.144925,0.087063,0.326439,0.514668,0.738071,0.120841,0.648741,0.106195,0.347647,0.369144,0.378965,0.207229,0.664516,0.137931,0.098230,0.200833,0.759167,0.279208,0.642365,0.141473,0.145530,0.422578,0.337183,0.174167,0.299154,0.425181,0.049566,0.696928,0.553156,0.142326,0.129869,0.158333,0.419879,0.727041,0.197428,0.558077,0.855624,0.087986,0.608177,0.311281,0.189326,0.150870,0.452163,0.751034,0.149580,0.944062,0.443522
Confidence: parliament,wvs_seed,WVS Wave 7,wvs_code=Q74;rule=top2of4,0.560561,0.423675,0.187143,0.489872,0.737220,0.110837,0.498626,0.562395,0.350135,0.869548,0.080921,0.461330,0.566029,0.640541,0.148431,0.211921,0.595495,0.512345,0.435264,0.087063,0.571605,0.746657,0.806456,0.332152,0.720027,0.392383,0.491857,0.461290,0.610440,0.564659,0.676518,0.124682,0.306212,0.335000,0.757500,0.413357,0.660750,0.474297,0.167278,0.600305,0.468413,0.155833,0.316905,0.543524,0.082076,0.752269,0.587203,0.192518,0.280551,0.228928,0.601800,0.799142,0.522826,0.614833,0.773261,0.235945,0.629314,0.655342,0.374957,0.419742,0.528675,0.799676,0.160504,0.864772,0.524086
Confidence: the civil service,wvs_seed,WVS Wave 7,wvs_code=Q75;rule=top2of4,0.797508,0.642983,0.783748,0.734398,0.903025,0.520480,0.762909,0.718443,0.666211,0.914089,0.515471,0.792136,0.788423,0.867769,0.740369,0.262712,0.719283,0.748300,0.849573,0.549227,0.749778,0.861984,0.863350,0.368941,0.829054,0.361878,0.669596,0.714171,0.659832,0.652209,0.670654,0.394872,0.400345,0.425000,0.826667,0.495662,0.851232,0.778426,0.609559,0.801067,0.692884,0.490000,0.829914,0.796375,0.586305,0.841589,0.825975,0.798016,0.599816,0.514881,0.705127,0.837119,0.759404,0.801887,0.802255,0.491438,0.704038,0.729447,0.583918,0.545869,0.849324,0.752227,0.613445,0.924255,0.818257
Confidence: universities,wvs_seed,WVS Wave 7,wvs_code=Q76;rule=top2of4,0.502049,0.287761,0.346076,0.588884,0.599647,0.250612,0.264902,0.545347,0.533956,0.595888,0.134211,0.495001,0.543989,0.713230,0.377406,,0.578858,0.528198,0.480016,0.118796,0.416887,0.733771,0.693410,0.155417,0.728916,0.200523,0.460905,0.310680,0.367977,0.642570,0.618400,0.152801,0.200361,0.247500,0.775000,0.342853,0.590909,0.306719,0.202154,0.430640,0.369891,0.244167,0.564574,0.683943,0.167924,0.683110,0.613830,0.232516,0.236119,0.255789,0.439628,0.700230,0.605172,0.588400,0.881239,0.144454,0.609402,0.351011,0.430901,0.393633,0.673321,0.741803,0.205882,0.870830,0.419650
Confidence: elections,wvs_seed,WVS Wave 7,wvs_code=Q77;rule=top2of4,0.476334,0.441303,0.312128,0.363485,0.652565,0.289023,0.557889,0.375309,0.401219,0.715900,0.280921,0.390983,0.548843,0.225342,0.495784,0.331593,0.626571,0.376051,0.334911,0.237592,0.521935,0.614892,0.550062,0.254699,0.519836,0.327254,0.547395,0.525631,0.532510,0.435341,0.541463,0.229041,0.192453,0.278333,0.682500,0.341981,0.714995,0.406008,0.327179,0.622613,0.557533,0.211667,0.308776,0.425647,0.262348,0.674622,0.591825,0.395118,0.287267,0.322741,0.431035,0.601590,0.526572,0.568661,0.569245,0.213463,0.507378,0.620525,0.438505,0.316347,0.503930,0.659751,0.404202,0.846690,0.600837
Confidence: major companies,wvs_seed,WVS Wave 7,wvs_code=Q78;rule=top2of4,0.264000,0.535114,0.325504,0.351099,0.755784,0.479607,0.517804,0.528323,0.452746,0.905319,0.282895,0.205371,0.643405,0.307795,0.546064,0.651466,0.920988,0.545225,0.216475,0.323841,0.822794,0.835766,0.889180,0.272122,0.572672,0.423077,0.708931,0.786517,0.782809,0.712450,0.568896,0.287298,0.284444,0.368333,0.834167,0.464794,0.864758,0.713870,0.354729,0.754962,0.725299,0.340000,0.342842,0.483871,0.330088,0.812802,0.754055,0.487319,0.253238,0.295065,0.447724,0.793408,0.601010,0.799080,0.677476,0.252622,0.424617,0.837590,0.333651,0.445785,0.615268,0.691870,0.426891,0.917376,0.507488
Confidence: banks,wvs_seed,WVS Wave 7,wvs_code=Q79;rule=top2of4,0.688129,0.461231,0.597678,0.586665,0.648474,0.465128,0.628404,0.611848,0.575804,0.808660,0.459868,0.591612,0.484887,0.677509,0.631933,0.148311,0.714908,0.680214,0.479615,0.373474,0.624917,0.808956,0.769662,0.324786,0.763229,0.464164,0.538323,0.620857,0.652056,0.648193,0.611065,0.221649,0.283681,0.441667,0.806667,0.390562,0.742126,0.604878,0.374703,0.774809,0.562606,0.557500,0.516830,0.634837,0.423668,0.789135,0.602076,0.679245,0.334477,0.380468,0.523717,0.721171,0.554260,0.692665,0.609733,0.368893,0.560175,0.725877,0.461166,0.547291,0.677284,0.617128,0.457983,0.896730,0.643404
Confidence: environmental protection movement,wvs_seed,WVS Wave 7,wvs_code=Q80;rule=top2of4,0.716479,0.474512,0.466088,0.671945,0.712066,0.455151,0.672105,0.680067,0.605938,0.845009,0.486184,0.615785,0.524539,0.712926,0.655290,0.232964,0.715455,0.753105,0.495521,0.381611,0.637275,0.790560,0.760959,0.387246,0.758136,0.513369,0.464390,0.613432,0.726714,0.608835,0.682990,0.284974,0.292637,0.376667,0.870833,0.420234,0.728346,0.610516,0.535076,0.742355,0.576145,0.498333,0.545572,0.759494,0.468408,0.844335,0.586982,0.718665,0.425121,0.336488,0.515458,0.670456,0.581770,0.688898,0.703422,0.378049,0.603683,0.788880,0.517649,0.549426,0.710915,0.702431,0.523529,0.914966,0.690955
Confidence: the women's movement,wvs_seed,WVS Wave 7,wvs_code=Q81;rule=top2of4,0.647944,0.558697,0.685004,0.582525,0.625850,0.427975,0.665766,0.601928,0.625100,0.737747,0.405263,0.632055,0.581448,0.662726,0.640809,0.567132,0.747312,0.733336,0.508349,0.406021,0.620541,0.858070,0.741858,0.475455,0.818243,0.534397,0.406520,0.673931,0.713555,0.614458,0.667233,0.284255,0.464801,0.433333,0.932500,0.437494,0.734190,0.726214,0.475303,0.759358,0.669057,0.493333,0.489663,0.694180,0.429316,0.851538,0.648725,0.732611,0.512897,0.378378,0.505711,0.593572,0.627076,0.674485,0.620265,0.430939,0.604651,0.642736,0.585389,0.625155,0.751975,0.666099,0.531092,0.861277,0.791874
Confidence: charitable/humanitarian organizations,wvs_seed,WVS Wave 7,wvs_code=Q82;rule=top2of4,0.498994,0.344719,0.344877,,0.671233,0.215989,0.448226,0.354113,0.497165,,0.143322,0.460862,0.489006,0.477115,0.411877,0.168453,0.619750,0.415218,0.261036,0.121237,0.276826,0.614655,0.588678,0.264966,0.642125,0.239156,0.476886,0.620948,0.682328,0.593574,0.688713,0.142734,0.178373,0.280833,0.791667,0.343526,,0.550050,0.334943,0.599694,0.548631,,0.372496,,0.323195,0.729656,0.492210,0.372793,0.464302,0.200407,0.398640,0.564406,0.501465,0.630078,0.632768,0.138943,0.332312,,0.530182,0.364276,0.424907,0.716275,0.228571,0.897507,0.619048
Confidence: regional/local government,wvs_seed,WVS Wave 7,wvs_code=Q83;rule=top2of4,0.488911,0.355696,0.297051,0.545897,0.763464,0.220938,0.509564,0.571718,0.468989,,0.287691,0.378120,0.572301,0.500357,0.442882,0.037479,0.645089,0.559958,0.312220,0.271766,0.557592,0.682675,0.694791,0.263566,0.463499,0.190531,0.603430,0.676349,0.655179,0.698795,0.650362,0.182759,0.143514,0.294167,0.800833,0.513680,0.744071,0.574219,0.382953,0.556150,0.579048,0.281667,0.511615,0.544134,0.339915,0.737372,0.516678,0.487535,0.432032,0.172378,0.277816,0.536860,0.498235,0.611040,0.666667,0.089391,0.335547,0.510914,0.593773,0.444765,0.473676,0.720808,0.266387,0.902052,0.660035
Confidence: regional integration organization,wvs_seed,WVS Wave 7,wvs_code=Q84;rule=top2of4,0.263320,0.330360,0.171441,0.385558,0.662990,0.195725,0.366918,0.433621,0.411599,,0.217326,0.260843,0.515199,0.302488,0.375445,0.075188,0.536023,0.395767,0.064347,0.209113,0.518562,0.687726,0.622395,0.281026,0.248624,0.188917,0.569054,0.656222,0.660589,0.670683,0.608495,0.165171,0.165414,0.266667,0.702500,0.443769,0.750248,0.537313,0.312967,0.519481,0.564435,0.295000,0.468499,0.427737,0.149759,0.649120,0.479470,0.359121,0.223447,0.149413,0.264785,0.551635,0.512499,0.609660,0.608418,0.097363,0.299091,0.573442,0.360797,0.297658,0.392120,0.673874,0.204753,0.921546,0.618519
Confidence: the United Nations,wvs_seed,WVS Wave 7,wvs_code=Q85;rule=top2of4,0.470588,0.422829,0.210653,0.519214,0.683957,0.256917,0.424436,0.513501,0.504588,,0.229508,0.515639,0.586489,0.669202,0.403038,,0.494673,0.542893,0.396765,0.209113,0.595070,0.628430,0.661070,0.279214,0.302920,0.301501,0.549731,0.622034,0.567761,0.638554,0.631725,0.123201,0.197993,0.298333,0.670000,0.404480,0.753968,0.495272,0.309228,0.592819,0.507345,0.280833,0.674265,0.560294,0.113261,0.632257,0.434903,0.370797,0.402007,0.126474,0.326279,0.601813,0.569816,0.617860,0.580913,0.143008,0.397026,0.609670,0.449331,0.350703,0.450795,0.688748,0.230553,0.943743,0.630996
Confidence: the International Monetary Fund,wvs_seed,WVS Wave 7,wvs_code=Q86;rule=top2of4,0.365226,0.294616,0.289423,0.482247,0.571227,0.141593,0.420206,0.563496,0.385388,,0.177563,0.232240,0.541031,0.514200,0.344595,,0.388985,0.635554,0.238537,0.199349,0.436881,0.539110,0.549880,0.259711,0.115688,0.167241,0.502086,0.531568,0.433823,0.636145,0.566636,0.099907,0.088262,0.277500,0.553333,0.390527,,0.411451,0.278551,0.512232,0.459804,0.211667,0.602417,,,0.531776,0.399671,0.363452,0.412644,0.083070,0.160951,0.435426,0.399815,0.601972,0.342936,0.086188,0.288827,0.558975,0.425568,0.463204,0.357567,0.579190,0.188337,0.884521,0.467708
Confidence: the World Health Organization,wvs_seed,WVS Wave 7,wvs_code=Q88;rule=top2of4,0.694248,0.512610,0.584361,0.698916,0.766857,0.490107,0.541570,0.644052,0.497775,,0.392378,0.593042,0.567536,0.734545,0.621691,,0.776860,0.721169,0.538182,0.372661,0.764224,0.839587,0.752591,0.437008,0.681089,0.470893,0.736203,0.779832,0.746612,0.734940,0.636116,0.187500,0.443463,0.342500,0.912500,0.562529,0.818719,0.784664,0.473175,0.759755,0.758294,0.609167,0.645856,0.686347,,0.830835,0.555004,0.601463,0.483219,0.262668,0.425462,0.698295,0.547941,0.680101,0.738806,0.311475,0.539819,0.767177,0.533489,0.528693,0.698539,0.721485,0.506527,0.955508,0.851982
Confidence: the World Bank,wvs_seed,WVS Wave 7,wvs_code=Q89;rule=top2of4,0.425793,0.447776,0.050468,0.434649,0.651807,0.285000,0.481863,0.471549,0.430355,,0.263617,0.348660,0.503119,0.406986,0.524804,,0.544139,0.502752,0.303320,0.275834,0.601335,0.700376,0.697942,0.348595,0.266725,0.300300,0.567742,0.635097,0.672787,0.710040,0.597415,0.137581,0.224054,0.350000,0.781667,0.472295,0.761858,0.606796,0.376118,0.601377,0.605820,0.465833,0.474274,0.498575,,0.715830,0.489011,0.448435,0.314956,0.200832,0.328162,0.577751,0.500754,0.648105,0.617991,0.208423,0.391203,0.678457,0.476633,0.349664,0.528481,0.674610,0.315032,0.939462,0.670046
Believe in God,wvs_seed,WVS Wave 7,wvs_code=Q165;rule=binary_yes=1,0.641000,0.946510,0.933948,0.568000,0.998333,0.977670,0.974406,0.584761,0.862600,0.169996,0.963816,0.955856,0.253077,0.593031,0.979132,,0.999187,0.526395,0.936980,0.964199,0.529951,0.970394,0.950846,,0.993316,0.996669,0.547988,0.996830,0.971456,0.406426,0.943886,0.995833,0.999162,0.986667,0.989167,0.633354,0.415521,0.999033,0.958848,0.952018,0.989385,0.921667,0.382520,0.565947,0.982264,0.996842,0.985794,0.968694,0.957088,0.874510,0.843129,0.801230,0.705087,0.459503,0.999167,0.997504,0.953197,0.824509,0.840936,0.821399,0.713226,0.981286,0.976471,0.485000,0.998354
Believe in life after death,wvs_seed,WVS Wave 7,wvs_code=Q166;rule=binary_yes=1,0.450050,0.445798,0.634796,0.552470,0.989158,0.748583,0.637072,0.568843,0.681594,0.115610,0.616447,0.676354,0.251552,0.434432,0.703412,0.924759,0.833882,0.503719,0.536540,0.807160,0.406421,0.735615,0.483310,,0.921212,0.926174,0.481236,0.853777,,0.337349,0.611477,0.861953,0.965225,0.961667,0.845000,0.510714,0.301181,0.987427,0.717331,0.818736,0.832014,0.255833,0.386650,0.522236,0.734537,0.840643,0.910112,0.714026,0.723916,0.372570,0.482908,0.699169,0.568040,0.579320,0.762500,0.919032,0.938585,0.572660,0.559055,0.705999,0.487336,0.863167,0.572269,0.340833,0.791391
