question_text,question_type,source,target_far_left,target_left,target_center_left,target_centrist,target_center_right,target_right,target_far_right,target_18-24,target_25-34,target_35-44,target_45-54,target_55-64,target_65+,notes
Do you have a great deal of confidence in television?,gss_seed,GSS 2022-2024 pooled,0.1084,0.0824,0.0935,0.1002,0.0584,0.0273,0.0922,0.1339,0.0948,0.065,0.0848,0.0666,0.0711,rule=1of3_greatdeal; var=contv; weight=WTSSNRPS; national=0.0812 (n=4490)
Do you have a great deal of confidence in the U.S. Supreme Court?,gss_seed,GSS 2022-2024 pooled,0.0577,0.1027,0.0842,0.1574,0.2302,0.2942,0.2979,0.2082,0.1416,0.1688,0.1551,0.1955,0.2195,rule=1of3_greatdeal; var=conjudge; weight=WTSSNRPS; national=0.1793 (n=4472)
Do you have a great deal of confidence in the scientific community?,gss_seed,GSS 2022-2024 pooled,0.6338,0.6343,0.5269,0.3473,0.2989,0.2027,0.2414,0.496,0.3835,0.3537,0.3278,0.385,0.3856,rule=1of3_greatdeal; var=consci; weight=WTSSNRPS; national=0.3788 (n=4435)
Do you have a great deal of confidence in Congress?,gss_seed,GSS 2022-2024 pooled,0.1265,0.05,0.044,0.0634,0.0311,0.0368,0.0997,0.0938,0.0787,0.0563,0.0378,0.0331,0.0568,rule=1of3_greatdeal; var=conlegis; weight=WTSSNRPS; national=0.0567 (n=4479)
Do you have a great deal of confidence in the military?,gss_seed,GSS 2022-2024 pooled,0.3288,0.367,0.4036,0.4694,0.5119,0.4523,0.4883,0.4452,0.4091,0.4015,0.4548,0.4709,0.5105,rule=1of3_greatdeal; var=conarmy; weight=WTSSNRPS; national=0.4516 (n=4505)
"Generally speaking, would you say that most people can be trusted?",gss_seed,GSS 2022-2024 pooled,0.3146,0.3434,0.2533,0.212,0.3371,0.3268,0.146,0.1329,0.1733,0.2554,0.2889,0.2885,0.3359,yes=can_trust of 3; var=trust; weight=WTSSNRPS; national=0.2564 (n=2144)
Do you think most people would try to be fair rather than take advantage of you?,gss_seed,GSS 2022-2024 pooled,0.3632,0.5489,0.4843,0.3961,0.4625,0.5346,0.423,0.3516,0.339,0.4098,0.4351,0.4312,0.5756,yes=fair of 3; var=fair; weight=WTSSNRPS; national=0.4389 (n=2134)
Would you say that most of the time people try to be helpful?,gss_seed,GSS 2022-2024 pooled,0.3851,0.4127,0.521,0.3883,0.3339,0.4938,0.4117,0.2605,0.322,0.3853,0.4018,0.4219,0.5301,yes=helpful of 3; var=helpful; weight=WTSSNRPS; national=0.4086 (n=2137)
Do you favor the death penalty for persons convicted of murder?,gss_seed,GSS 2022-2024 pooled,0.3041,0.383,0.4585,0.6467,0.7702,0.7649,0.819,0.5658,0.5734,0.6021,0.6243,0.6648,0.6542,binary favor; var=cappun; weight=WTSSNRPS; national=0.618 (n=5407)
Would you favor a law requiring a person to obtain a police permit before buying a gun?,gss_seed,GSS 2022-2024 pooled,0.8614,0.8862,0.8717,0.7084,0.5997,0.4909,0.4456,0.6997,0.6318,0.7081,0.6641,0.6693,0.7595,binary favor; var=gunlaw; weight=WTSSNRPS; national=0.6918 (n=4493)
Do you have a gun in your home?,gss_seed,GSS 2022-2024 pooled,0.1622,0.2353,0.2802,0.3513,0.4993,0.5409,0.5061,0.3013,0.3371,0.385,0.3741,0.4037,0.4206,binary; refused excluded; var=owngun; weight=WTSSNRPS; national=0.3713 (n=4439)
Do courts in this area deal with criminals not harshly enough?,gss_seed,GSS 2022-2024 pooled,0.3578,0.4424,0.5385,0.6247,0.6828,0.6628,0.7358,0.5468,0.4853,0.5454,0.6718,0.678,0.6473,yes=not_harsh_enough of 3; var=courts; weight=WTSSNRPS; national=0.6034 (n=2362)
Should the use of marijuana be made legal?,gss_seed,GSS 2022-2024 pooled,0.8567,0.8097,0.8135,0.7541,0.6309,0.5458,0.4892,0.8804,0.8436,0.7026,0.6861,0.6536,0.564,binary; var=grass; weight=WTSSNRPS; national=0.7024 (n=1979)
Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,gss_seed,GSS 2022-2024 pooled,0.519,0.6415,0.6205,0.6686,0.8207,0.7153,0.7603,0.7719,0.6738,0.6788,0.6685,0.6415,0.685,binary; var=polhitok; weight=WTSSNRPS; national=0.679 (n=2257)
Do you believe in God (knowing God exists or believing with some doubts)?,gss_seed,GSS 2022-2024 pooled,0.3936,0.405,0.5131,0.6693,0.7397,0.8581,0.894,0.5332,0.5991,0.6285,0.6876,0.7531,0.7365,rule=top2of6; var=god; weight=WTSSNRPS; national=0.6693 (n=4496)
Do you believe there is a life after death?,gss_seed,GSS 2022-2024 pooled,0.6453,0.6665,0.7379,0.8338,0.8479,0.9206,0.926,0.8701,0.8215,0.8523,0.826,0.8043,0.7852,binary; var=postlife; weight=WTSSNRPS; national=0.8227 (n=2859)
Do you pray at least once a day?,gss_seed,GSS 2022-2024 pooled,0.3651,0.3014,0.3222,0.4798,0.487,0.599,0.7329,0.2418,0.3835,0.454,0.5093,0.5618,0.6012,rule=daily+ of 6; var=pray; weight=WTSSNRPS; national=0.4749 (n=6770)
Do you attend religious services nearly every week or more often?,gss_seed,GSS 2022-2024 pooled,0.0984,0.1305,0.1389,0.1943,0.2378,0.4035,0.5119,0.1612,0.1857,0.1954,0.2085,0.2782,0.3536,rule=6-8of0-8; var=attend; weight=WTSSNRPS; national=0.2374 (n=6785)
Would you call yourself a strong follower of your religion?,gss_seed,GSS 2022-2024 pooled,0.4047,0.2449,0.2017,0.3069,0.3344,0.498,0.6395,0.233,0.2461,0.3014,0.3357,0.417,0.4913,yes=strong of 4; var=reliten; weight=WTSSNRPS; national=0.3516 (n=3177)
Do you approve of the Supreme Court ruling that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools?,gss_seed,GSS 2022-2024 pooled,0.6875,0.762,0.6857,0.5448,0.3785,0.3142,0.2897,0.6722,0.6099,0.5681,0.5087,0.436,0.368,binary approve; var=prayer; weight=WTSSNRPS; national=0.5078 (n=2044)
"Is the Bible the actual word of God, to be taken literally, word for word?",gss_seed,GSS 2022-2024 pooled,0.2717,0.1385,0.177,0.2898,0.2952,0.4791,0.7027,0.2139,0.2374,0.3074,0.3556,0.3402,0.4319,rule=1of3; code 4 excluded; var=bible; weight=WTSSNRPS; national=0.3271 (n=3140)
Is it much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family?,gss_seed,GSS 2022-2024 pooled,0.1612,0.1212,0.1671,0.2444,0.3349,0.431,0.628,0.2634,0.288,0.2783,0.2482,0.2859,0.3273,agree+strongly of 4; var=fefam; weight=WTSSNRPS; national=0.2841 (n=4510)
Can a working mother establish just as warm and secure a relationship with her children as a mother who does not work?,gss_seed,GSS 2022-2024 pooled,0.8245,0.8448,0.7741,0.7721,0.6991,0.6821,0.6067,0.8015,0.7465,0.7558,0.7364,0.7548,0.7323,agree+strongly of 4; var=fechld; weight=WTSSNRPS; national=0.7485 (n=4532)
Is a preschool child likely to suffer if his or her mother works?,gss_seed,GSS 2022-2024 pooled,0.2004,0.1814,0.2331,0.281,0.3465,0.3578,0.5151,0.1997,0.2412,0.2965,0.3264,0.3186,0.3495,agree+strongly of 4; var=fepresch; weight=WTSSNRPS; national=0.296 (n=4501)
Are most men better suited emotionally for politics than are most women?,gss_seed,GSS 2022-2024 pooled,0.0345,0.0907,0.084,0.1738,0.1668,0.2056,0.3434,0.1341,0.0852,0.1964,0.1798,0.1271,0.1903,binary agree; var=fepol; weight=WTSSNRPS; national=0.163 (n=2036)
Should homosexual couples have the right to marry one another?,gss_seed,GSS 2022-2024 pooled,0.839,0.8927,0.8258,0.696,0.662,0.397,0.2523,0.8318,0.7274,0.7098,0.6176,0.5859,0.5396,agree+strongly of 5; var=marsame; weight=WTSSNRPS; national=0.6609 (n=3434)
Is sex before marriage not wrong at all?,gss_seed,GSS 2022-2024 pooled,0.9299,0.8535,0.8274,0.6987,0.6123,0.4646,0.3828,0.7537,0.7505,0.7002,0.695,0.6222,0.5545,rule=4of4; var=premarsx; weight=WTSSNRPS; national=0.6729 (n=4439)
Is extramarital sex not wrong at all?,gss_seed,GSS 2022-2024 pooled,0.0455,0.057,0.039,0.0419,0.0209,0.0142,0.0443,0.0178,0.0382,0.0318,0.045,0.033,0.0389,rule=4of4; var=xmarsex; weight=WTSSNRPS; national=0.0364 (n=4481)
Are sexual relations between two adults of the same sex not wrong at all?,gss_seed,GSS 2022-2024 pooled,0.8723,0.8448,0.7503,0.6367,0.5306,0.3297,0.2179,0.7854,0.6755,0.6721,0.5638,0.4941,0.4598,rule=4of4; var=homosex; weight=WTSSNRPS; national=0.5942 (n=4374)
Is sex between 14-16 year olds not wrong at all?,gss_seed,GSS 2022-2024 pooled,0.322,0.2518,0.1937,0.1779,0.0905,0.0747,0.0781,0.2325,0.2165,0.204,0.1655,0.0939,0.077,rule=4of4; var=teensex; weight=WTSSNRPS; national=0.1602 (n=4454)
Should there be laws against the distribution of pornography whatever the age?,gss_seed,GSS 2022-2024 pooled,0.1564,0.1463,0.1746,0.2756,0.2988,0.3998,0.5163,0.1757,0.2286,0.2477,0.2884,0.3126,0.3742,yes=illegal_to_all of 3; var=pornlaw; weight=WTSSNRPS; national=0.2813 (n=4476)
Should a person who is against all churches and religion be allowed to make a speech in your community?,gss_seed,GSS 2022-2024 pooled,0.8831,0.8827,0.807,0.7801,0.7853,0.7609,0.7127,0.8058,0.7743,0.8071,0.7858,0.7584,0.784,binary allowed; var=spkath; weight=WTSSNRPS; national=0.7877 (n=2280)
Should a person who is against all churches and religion be allowed to teach in a college or university?,gss_seed,GSS 2022-2024 pooled,0.828,0.8084,0.7692,0.6075,0.6137,0.5424,0.4887,0.7391,0.6987,0.6597,0.5965,0.5855,0.5617,allowed=4of4/5; var=colath; weight=WTSSNRPS; national=0.6371 (n=4469)
"If a person who is against churches and religion wrote a book, should it NOT be removed from your public library?",gss_seed,GSS 2022-2024 pooled,0.8535,0.8919,0.853,0.7732,0.8449,0.7352,0.5513,0.8472,0.7539,0.8253,0.7584,0.7877,0.7514,yes=not_remove; var=libath; weight=WTSSNRPS; national=0.7858 (n=2259)
Should a person who believes that Black people are genetically inferior be allowed to make a speech in your community?,gss_seed,GSS 2022-2024 pooled,0.5068,0.4031,0.478,0.4407,0.5479,0.5893,0.5129,0.3574,0.4535,0.4829,0.5753,0.5078,0.5196,binary allowed; var=spkrac; weight=WTSSNRPS; national=0.4824 (n=2271)
Should a person who believes that Black people are genetically inferior be allowed to teach in a college or university?,gss_seed,GSS 2022-2024 pooled,0.3044,0.3161,0.3393,0.3562,0.37,0.3516,0.3345,0.2552,0.3277,0.368,0.3403,0.3661,0.3792,allowed=4of4/5; var=colrac; weight=WTSSNRPS; national=0.3449 (n=4470)
"If a person who believes Black people are genetically inferior wrote a book, should it NOT be removed from your public library?",gss_seed,GSS 2022-2024 pooled,0.6392,0.5794,0.6165,0.535,0.569,0.5745,0.4207,0.3925,0.467,0.545,0.6171,0.5769,0.6988,yes=not_remove; var=librac; weight=WTSSNRPS; national=0.5589 (n=2255)
Should an admitted Communist be allowed to make a speech in your community?,gss_seed,GSS 2022-2024 pooled,0.8315,0.7269,0.7313,0.6445,0.6489,0.6782,0.5,0.6871,0.6811,0.7085,0.662,0.6639,0.6281,binary allowed; var=spkcom; weight=WTSSNRPS; national=0.6663 (n=2232)
Should an admitted Communist be allowed to teach in a college or university?,gss_seed,GSS 2022-2024 pooled,0.2268,0.2587,0.2588,0.3477,0.3218,0.4786,0.6697,0.2357,0.3125,0.3358,0.4358,0.362,0.4454,allowed=4of4/5; var=colcom; weight=WTSSNRPS; national=0.3639 (n=2189)
"If an admitted Communist wrote a book, should it NOT be removed from your public library?",gss_seed,GSS 2022-2024 pooled,0.8493,0.8442,0.7497,0.6868,0.7056,0.6278,0.3905,0.7317,0.6682,0.7409,0.6945,0.7243,0.6563,yes=not_remove; var=libcom; weight=WTSSNRPS; national=0.6938 (n=2230)
Are we spending too little money on improving and protecting the environment?,gss_seed,GSS 2022-2024 pooled,0.8987,0.9143,0.8366,0.7097,0.512,0.384,0.3258,0.8455,0.7587,0.6594,0.6125,0.6093,0.568,yes=too_little of 3; var=natenvir; weight=WTSSNRPS; national=0.662 (n=3395)
Are we spending too little money on improving the nation's education system?,gss_seed,GSS 2022-2024 pooled,0.8741,0.8717,0.8035,0.7823,0.7383,0.626,0.5621,0.7244,0.7478,0.8171,0.7963,0.7486,0.6864,yes=too_little of 3; var=nateduc; weight=WTSSNRPS; national=0.7501 (n=3424)
Are we spending too little money on improving the conditions of Black Americans?,gss_seed,GSS 2022-2024 pooled,0.8942,0.7718,0.5985,0.492,0.392,0.2491,0.3043,0.5488,0.5757,0.503,0.5209,0.4539,0.4219,yes=too_little of 3; var=natrace; weight=WTSSNRPS; national=0.4995 (n=3276)
Are we spending too little money on dealing with drug addiction?,gss_seed,GSS 2022-2024 pooled,0.795,0.7419,0.7077,0.7065,0.617,0.6736,0.7145,0.7322,0.738,0.6975,0.7124,0.684,0.6396,yes=too_little of 3; var=natdrug; weight=WTSSNRPS; national=0.6983 (n=3375)
Are we spending too little money on halting the rising crime rate?,gss_seed,GSS 2022-2024 pooled,0.6087,0.5824,0.6372,0.758,0.6902,0.7396,0.7677,0.5358,0.6891,0.6742,0.7665,0.7473,0.7541,yes=too_little of 3; var=natcrime; weight=WTSSNRPS; national=0.7041 (n=3376)
"Are we spending too little money on the military, armaments and defense?",gss_seed,GSS 2022-2024 pooled,0.1252,0.0907,0.1543,0.2626,0.3851,0.5058,0.6627,0.1022,0.1997,0.259,0.3458,0.3316,0.4413,yes=too_little of 3; var=natarms; weight=WTSSNRPS; national=0.2987 (n=3361)
Are we spending too little money on foreign aid?,gss_seed,GSS 2022-2024 pooled,0.2017,0.1613,0.1436,0.0945,0.0706,0.0532,0.0789,0.2189,0.154,0.1066,0.0519,0.0781,0.0598,yes=too_little of 3; var=nataid; weight=WTSSNRPS; national=0.1047 (n=3319)
Are we spending too little money on welfare?,gss_seed,GSS 2022-2024 pooled,0.7185,0.5724,0.3752,0.2969,0.1903,0.1505,0.1895,0.4297,0.3381,0.3601,0.2837,0.3,0.2527,yes=too_little of 3; var=natfare; weight=WTSSNRPS; national=0.3185 (n=3355)
Are we spending too little money on improving and protecting the nation's health?,gss_seed,GSS 2022-2024 pooled,0.8874,0.8584,0.7288,0.7774,0.6278,0.5235,0.4585,0.7133,0.7829,0.7384,0.6928,0.6733,0.6434,yes=too_little of 3; var=natheal; weight=WTSSNRPS; national=0.7093 (n=3392)
Are we spending too little money on the space exploration program?,gss_seed,GSS 2022-2024 pooled,0.4011,0.1728,0.1671,0.1957,0.251,0.1921,0.2508,0.1481,0.1997,0.2091,0.2857,0.2012,0.1878,yes=too_little of 3; var=natspac; weight=WTSSNRPS; national=0.2062 (n=3265)
Should the government reduce income differences between the rich and the poor?,gss_seed,GSS 2022-2024 pooled,0.8738,0.8121,0.7309,0.5605,0.3392,0.2278,0.3735,0.6509,0.6258,0.5303,0.5154,0.5015,0.4213,rule=1-3of7; var=eqwlth; weight=WTSSNRPS; national=0.5292 (n=4512)
Should the government do everything possible to improve the standard of living of all poor Americans?,gss_seed,GSS 2022-2024 pooled,0.7615,0.6741,0.4865,0.3503,0.257,0.1742,0.2739,0.5034,0.4505,0.3902,0.3437,0.372,0.2708,rule=1-2of5; var=helppoor; weight=WTSSNRPS; national=0.3769 (n=4451)
Is it the responsibility of the government in Washington to help people pay for doctor and hospital bills?,gss_seed,GSS 2022-2024 pooled,0.8015,0.8154,0.7475,0.5335,0.4121,0.2911,0.3914,0.6096,0.6095,0.5445,0.5574,0.498,0.4806,rule=1-2of5; var=helpsick; weight=WTSSNRPS; national=0.5448 (n=4461)
Should the government do more to solve our country's problems?,gss_seed,GSS 2022-2024 pooled,0.7295,0.59,0.4117,0.2922,0.1962,0.1476,0.2252,0.4334,0.3709,0.2901,0.2834,0.3418,0.2559,rule=1-2of5 (do-more side); var=helpnot; weight=WTSSNRPS; national=0.3222 (n=4382)
Do you favor preferential hiring and promotion of Black Americans?,gss_seed,GSS 2022-2024 pooled,0.732,0.5246,0.3652,0.2218,0.1597,0.1001,0.1643,0.3968,0.292,0.3003,0.2669,0.197,0.2272,favor+strongly of 4; var=affrmact; weight=WTSSNRPS; national=0.2714 (n=4239)
Do you agree that Black Americans should work their way up without any special favors?,gss_seed,GSS 2022-2024 pooled,0.2055,0.2114,0.3251,0.5019,0.5224,0.6894,0.8362,0.373,0.3782,0.4634,0.4913,0.5664,0.599,agree+strongly of 5; var=wrkwayup; weight=WTSSNRPS; national=0.4857 (n=4464)
"Taking all things together, would you say you are very happy?",gss_seed,GSS 2022-2024 pooled,0.1941,0.2333,0.2021,0.2354,0.2695,0.2491,0.3454,0.1541,0.2643,0.2747,0.2374,0.2112,0.2759,yes=very of 3; var=happy; weight=WTSSNRPS; national=0.2409 (n=6801)
Would you say your own health is excellent?,gss_seed,GSS 2022-2024 pooled,0.241,0.2466,0.1922,0.1685,0.208,0.1834,0.1841,0.2562,0.2407,0.1857,0.1661,0.1553,0.1696,yes=excellent of 4; var=health; weight=WTSSNRPS; national=0.1927 (n=6835)
Are you satisfied with your present financial situation?,gss_seed,GSS 2022-2024 pooled,0.2046,0.3243,0.2899,0.1943,0.2639,0.279,0.2848,0.2231,0.1632,0.23,0.2338,0.2621,0.355,yes=satisfied of 3; var=satfin; weight=WTSSNRPS; national=0.2478 (n=6817)
Do you consider yourself middle or upper class?,gss_seed,GSS 2022-2024 pooled,0.4339,0.6202,0.5023,0.4165,0.5152,0.5119,0.4732,0.413,0.3568,0.458,0.5104,0.4837,0.6188,rule=top2of4; var=class; weight=WTSSNRPS; national=0.4815 (n=6777)
Do people get ahead mainly by their own hard work?,gss_seed,GSS 2022-2024 pooled,0.55,0.4848,0.4962,0.6468,0.5963,0.6311,0.7896,0.5216,0.5952,0.6208,0.5904,0.6031,0.6847,yes=hard_work of 3; var=getahead; weight=WTSSNRPS; national=0.6068 (n=2173)
"When a person has an incurable disease, should doctors be allowed by law to end the patient's life if the patient and family request it?",gss_seed,GSS 2022-2024 pooled,0.8605,0.8702,0.7722,0.765,0.7764,0.5473,0.4427,0.8233,0.7247,0.7314,0.754,0.7506,0.6403,binary; var=letdie1; weight=WTSSNRPS; national=0.7266 (n=2231)
Does a person with an incurable disease have the right to end their own life?,gss_seed,GSS 2022-2024 pooled,0.883,0.8039,0.8041,0.6708,0.6385,0.5315,0.4448,0.7211,0.6727,0.6647,0.6576,0.6727,0.6492,binary; var=suicide1; weight=WTSSNRPS; national=0.6674 (n=2597)
Should divorce in this country be easier to obtain?,gss_seed,GSS 2022-2024 pooled,0.8613,0.692,0.5865,0.5191,0.5598,0.3146,0.4116,0.7013,0.687,0.479,0.5298,0.4859,0.3946,yes=easier of 3; var=divlaw; weight=WTSSNRPS; national=0.5367 (n=2023)
